question,answer
I want a sweet cocktail,"Try a Strawberry Daiquiri, Piña Colada, or Sex on the Beach"
I want a bitter cocktail,Try a Negroni or an Aperol Spritz
I want something refreshing,"Try a Mojito, Tom Collins, or Gin & Tonic"
I want something strong,"Try an Old Fashioned, Martini, or a Manhattan"
I want something for dessert,"Try an Mudslide, or White Russian"
I want something with no alcohol,"Virgin Mojito, Shirley Temple, or sparkling lemonade with mint"
Cocktails with vodka?,"Cosmopolitan, Moscow Mule, Bloody Mary"
Cocktails with gin?,"Negroni, Tom Collins, Gin & Tonic"
Cocktails with rum?,"Mojito, Daiquiri, Pina Colada"
Cocktails with tequila?,"Margarita, Paloma, Tequila Sunrise"
Cocktails with whiskey?,"Old Fashioned, Manhattan, Whiskey Sour"
Subsitute for triple sec?,"Cointreau is similar, otherwise orange curacao or a splash of orange juice and sugar"
Subsitute for syrup?,"Dissolve sugar in warm water (1:1), or use honey"
"No lime juice, what can I use?",Lemon juice will work
Recommend something fruity,"A Passionfruit Martini, Strawberry Daiquiri, or Tequila Sunrise would be great choices"
I like sugary drinks,You might enjoy a Pina Colada or a White Russian
I don’t like bitter drinks,Try something fruit-based like a Mojito or a Peach Bellini
Something with a lot of alcohol,"Try a Negroni, Martini, or Long Island Iced Tea"
I prefer spirit-forward drinks,"Consider a Manhattan, Old Fashioned, or Dry Martini"
Something light and easy to drink,"Try a Spritz, Mojito, or Paloma"
Recommend a summer cocktail,"A Mojito, Pina Colada, or Aperol Spritz works well in summer"
Recommend a vodka cocktail,Try a Moscow Mule or Cosmopolitan
What can I make with gin?,"Gin and Tonic, Negroni, Tom Collins, or French 75"
Suggest a gin cocktail,A Negroni or Tom Collins would be excellent
What can I mix with rum?,"Rum pairs well with lime, mint, pineapple, and cola."
What cocktails use tequila?,"Margarita, Paloma, or Tequila Sunrise"
Suggest a tequila drink,A classic Margarita is always a good choice
What does a Negroni taste like?,"A Negroni is bitter, herbal, and slightly sweet"
What does a Mojito taste like?,"A Mojito is fresh, minty, slightly sweet, and citrusy"
Is a Margarita sweet or sour?,A Margarita is typically sweet and sour with a citrus kick
Is an Old Fashioned bitter?,It has a slightly bitter edge balanced with sweetness
What can I use instead of rum?,Vodka works as a neutral alternative in many cocktails.
Recommend a cocktail for a party,"Try a large-batch Mojito, Sangria, or Punch"
Best cocktail for a date,A French 75 or Espresso Martini works well
Something classy,"A Martini, Manhattan, or Negroni feels sophisticated"
Something fun and colourful,A Tequila Sunrise or Blue Lagoon is vibrant and playful
Recommend a mocktail,A Virgin Mojito or Shirley Temple is refreshing
Low alcohol cocktail ideas,A Spritz or Shandy keeps alcohol content lower
What’s the difference between a Daiquiri and a Margarita?,"A Daiquiri uses rum and lime, while a Margarita uses tequila and orange liqueur"
What’s the difference between a Martini and a Manhattan?,A Martini uses gin or vodka with vermouth; a Manhattan uses whiskey and vermouth
